YEAR,FILM,FILM_ID,COUNTRY,COUNTRY_ID,VOTER,VOTER_ID,DIRECTOR,DIRECTOR_ID,GENDER,GENDER_ID,ROLE,ROLE_ID
,,,Kazakhstan,86fe85da-add8-4970-9b60-740ac00074c2,Gulnara Abikeyeva,558,,,Female,ca894567-3c6f-461d-a696-c8f5ed4a3553,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,Ireland,f534b851-6753-424d-9aa4-b5b1e77e5017,Lenny Abrahamson,1033,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Turkey,6c077823-74da-40b9-8be4-b0cd57bd46b1,Mehmet Açar,316,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Nigerla,603477b6-e5f7-4e36-815f-95819849a606,Newton Aduaka,1090,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Sweden,09941d9c-a83d-43ba-9592-c4f19bd27129,Eva af Geijerstam,624,,,Female,ca894567-3c6f-461d-a696-c8f5ed4a3553,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,UK,5c5eadcb-3adf-4f84-8763-2574f37cd16d,Kaleem Aftab,444,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Argentina,6d2d9c64-a820-4033-aa1a-52d6b69ad956,Alejandro Agresti,855,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Spain,78549c96-7aa5-4a18-9778-21e42d4047a6,Pedro Aguilera,1115,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,India,d212face-2dbf-454e-b832-9e91c88618ce,Ashim Ahluwalia,886,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Japan,e8bca697-96ee-4b74-86e5-59971a40451d,Daisuke Akasaka,704,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Iran,8385c6b7-dbe0-43d2-8347-fb79264bcd0d,Mania Akbari,1046,,,Female,ca894567-3c6f-461d-a696-c8f5ed4a3553,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Iraq,49c46601-99a4-4cc8-86ee-7ba849f0c046,Mohamed Al-Daradji,1081,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Holland,3f5b1643-d502-49ba-b208-101d09a2294b,Mohamed Al-Daradji,1081,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Finland,40bced6d-2782-4c6e-b49e-ab4493bb68b1,Antti Alanen,785,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,Argentina,6d2d9c64-a820-4033-aa1a-52d6b69ad956,Marcelo Alderete,364,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,UK,5c5eadcb-3adf-4f84-8763-2574f37cd16d,Nigel Algar,247,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Archivist,c2c95170-308f-4a46-b20a-32822870fa50
,,,Spain,78549c96-7aa5-4a18-9778-21e42d4047a6,Francisco Algarín Navarro,600,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Pakistan,f4289e26-8e6d-4a3d-8aee-e7797c5be508,Tariq Ali,66,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,UK,5c5eadcb-3adf-4f84-8763-2574f37cd16d,Tariq Ali,66,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Russia,1b12f75b-7973-47d7-93e9-20a7f8443e24,Sitora Alieva,95,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,Woody Allen,1200,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Switzerland,66e5234f-387e-410e-ad3e-ee7b5d4d4a1b,Thomas Allenbach,63,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,Sweden,09941d9c-a83d-43ba-9592-c4f19bd27129,Gunnar Almer,557,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,Florence Almozini,607,,,Female,ca894567-3c6f-461d-a696-c8f5ed4a3553,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,Argentina,6d2d9c64-a820-4033-aa1a-52d6b69ad956,Lisandro Alonso,1035,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Brazil,d9af0bc5-eaf9-4e9a-92cf-92a9e652a9cd,Tata Amaral,1180,,,Female,ca894567-3c6f-461d-a696-c8f5ed4a3553,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Brazil,d9af0bc5-eaf9-4e9a-92cf-92a9e652a9cd,Suzana Amaral,1178,,,Female,ca894567-3c6f-461d-a696-c8f5ed4a3553,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Dubai,195e7d1b-32ce-4fdf-8684-80b01adb1338,Masoud Amralla Al Ali,326,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,Thom Andersen,1183,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Canada,3ad0f5ec-0c0d-496c-887d-3c711f42a067,Jason Anderson,502,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Sweden,09941d9c-a83d-43ba-9592-c4f19bd27129,Roy Andersson,1154,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Serbia,47b74c8d-8f51-4c2e-bc3c-aaa4e57e2b51,Borislav Andjelic,757,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Brazil,d9af0bc5-eaf9-4e9a-92cf-92a9e652a9cd,Fábio Andrade,621,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Norway,454b6ed8-99e1-4b46-96c1-21f70b8c075b,Arild Andresen,884,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,UK,5c5eadcb-3adf-4f84-8763-2574f37cd16d,Geoff Andrew,583,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,UK,5c5eadcb-3adf-4f84-8763-2574f37cd16d,Nigel Andrews,246,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Argentina,6d2d9c64-a820-4033-aa1a-52d6b69ad956,Mauro Andrizzi,1063,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Indonesia,2c76e27c-b7a2-427a-90c5-15b364159ba3,Joko Anwar,1002,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Italy,e8fa9456-5374-434d-adda-c2b5bbc60823,Adriano Aprà,841,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,UK,5c5eadcb-3adf-4f84-8763-2574f37cd16d,Michael Apted,1065,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,Gregg Araki,961,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Spain,78549c96-7aa5-4a18-9778-21e42d4047a6,Paula Arantzazu Ruiz,215,,,Female,ca894567-3c6f-461d-a696-c8f5ed4a3553,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Brazil,d9af0bc5-eaf9-4e9a-92cf-92a9e652a9cd,Inácio Araujo,529,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Spain,78549c96-7aa5-4a18-9778-21e42d4047a6,Álvaro Arroba,823,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Russia,1b12f75b-7973-47d7-93e9-20a7f8443e24,Anjelika Artyukh,800,,,Female,ca894567-3c6f-461d-a696-c8f5ed4a3553,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,Nana Asfour,269,,,Female,ca894567-3c6f-461d-a696-c8f5ed4a3553,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Spain,78549c96-7aa5-4a18-9778-21e42d4047a6,Manuel Asín,369,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Thailand,7fb162c9-25e1-4ab3-ba02-3741d2c8623c,Aditya Assarat,849,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,France,07f48d2c-dcca-4fbd-95f2-51d656a65ddb,Olivier Assayas,1099,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Turkey,6c077823-74da-40b9-8be4-b0cd57bd46b1,Kutlug Ataman,1029,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Egypt,5718b48e-6090-42b8-9e11-a2466878a995,Ahmed Atef,852,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,Michael Atkinson,313,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Brazil,d9af0bc5-eaf9-4e9a-92cf-92a9e652a9cd,José Carlos Avellar,466,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,UK,5c5eadcb-3adf-4f84-8763-2574f37cd16d,Richard Ayoade,1142,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Turkey,6c077823-74da-40b9-8be4-b0cd57bd46b1,Senem Aytaç,110,,,Female,ca894567-3c6f-461d-a696-c8f5ed4a3553,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Finland,40bced6d-2782-4c6e-b49e-ab4493bb68b1,Peter von Bagh,196,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,Italy,e8fa9456-5374-434d-adda-c2b5bbc60823,Peter von Bagh,196,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,Russia,1b12f75b-7973-47d7-93e9-20a7f8443e24,Peter Bagrov,207,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Academic,0d2babe6-4213-4a9f-9bae-ad09473af49c
,,,Canada,3ad0f5ec-0c0d-496c-887d-3c711f42a067,Cameron Bailey,748,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
