FILM,FILM_ID,COUNTRY,COUNTRY_ID,VOTER,VOTER_ID,DIRECTOR,DIRECTOR_ID,GENDER,GENDER_ID,ROLE,ROLE_ID
,,Australia,fd9d4728-65d3-40c6-9c4d-4dcd42c83be6,Quentin Turnour,182,,,Male,3a08fec6-1ea0-4fd6-b142-a36042758162,Programmer,2c37a4ff-994d-49c2-9eff-fa7f31fa2daf
,4ce2b6bf4befa,,,,182,,,,,,
,4ce2b6a7a801b,,,,182,,,,,,
,4ce2b7276d3d3,,,,182,,,,,,
,4ce2b6af779a6,,,,182,,,,,,
,4ce2b6a2991ce,,,,182,,,,,,
,4ce2b6ac69d47,,,,182,,,,,,
,4ce2b6b3291db,,,,182,,,,,,
,4ce2b6b48f642,,,,182,,,,,,
,4ce2b6b7d5c6e,,,,182,,,,,,
,4ce2b72a49470,,,,182,,,,,,
The Best Years of Our Lives,4ce2b6bf4befa,USA,63220c98-6ec8-4bd3-9ccf-15308b2c8932,,,William Wyler,c5539cc9-4256-49a1-abc0-b154ea823440,Unspecified,5bdfa43f-bdec-4b03-8129-3de5a7b61a9c,Director,3b561d0d-0e65-4e38-a257-3dc2dd4fb17f
Citizen Kane,4ce2b6a7a801b,USA,63220c98-6ec8-4bd3-9ccf-15308b2c8932,,,Orson Welles,4f14ce1f-de41-488b-8a4d-b79b78b5f408,Unspecified,5bdfa43f-bdec-4b03-8129-3de5a7b61a9c,Director,3b561d0d-0e65-4e38-a257-3dc2dd4fb17f
Hitler: A Film from Germany,4ce2b7276d3d3,,,,,Hans Jurgen Syberberg,790e32fb-f40b-4001-9fbe-07be8f79d7dc,Unspecified,5bdfa43f-bdec-4b03-8129-3de5a7b61a9c,Director,3b561d0d-0e65-4e38-a257-3dc2dd4fb17f
Madame de…,4ce2b6af779a6,France,1a7a0585-63b2-4042-9d0a-975cf3673932,,,Max Ophüls,2f54fe00-f45c-4ff5-8f4a-6212ace874bf,Unspecified,5bdfa43f-bdec-4b03-8129-3de5a7b61a9c,Director,3b561d0d-0e65-4e38-a257-3dc2dd4fb17f
Madame de…,4ce2b6af779a6,Italy,a4ca2687-c8c8-4424-81af-06a905d04a86,,,Max Ophüls,2f54fe00-f45c-4ff5-8f4a-6212ace874bf,Unspecified,5bdfa43f-bdec-4b03-8129-3de5a7b61a9c,Director,3b561d0d-0e65-4e38-a257-3dc2dd4fb17f
Minamata: The Victims and their World,4ce2b6a2991ce,Japan,8d056817-4cfe-442f-a308-481cd0874b74,,,Tsuchimoto Noriaki,971c8f72-b857-4f2d-8d79-9d9c72261e31,Unspecified,5bdfa43f-bdec-4b03-8129-3de5a7b61a9c,Director,3b561d0d-0e65-4e38-a257-3dc2dd4fb17f
The Only Son,4ce2b6ac69d47,Japan,8d056817-4cfe-442f-a308-481cd0874b74,,,Ozu Yasujirô ,5bad3c0c-59d5-410c-8b91-71b3bdebdef1,Unspecified,5bdfa43f-bdec-4b03-8129-3de5a7b61a9c,Director,3b561d0d-0e65-4e38-a257-3dc2dd4fb17f
Playtime,4ce2b6b3291db,France,1a7a0585-63b2-4042-9d0a-975cf3673932,,,Jacques Tati,601d74c5-78c5-4e61-b4b5-a3b84e3bcf66,Unspecified,5bdfa43f-bdec-4b03-8129-3de5a7b61a9c,Director,3b561d0d-0e65-4e38-a257-3dc2dd4fb17f
Rome Open City,4ce2b6b48f642,Italy,a4ca2687-c8c8-4424-81af-06a905d04a86,,,Roberto Rossellini,1d8513d6-ca6b-4b7c-9743-5063f557fe09,Unspecified,5bdfa43f-bdec-4b03-8129-3de5a7b61a9c,Director,3b561d0d-0e65-4e38-a257-3dc2dd4fb17f
Shadows of Our Forgotten Ancestors,4ce2b6b7d5c6e,USSR,59346e9f-505a-487f-80da-7463b724ed65,,,Sergei Parajanov,187d1ccf-c0fe-49bf-9b76-2b84fae8c7e1,Unspecified,5bdfa43f-bdec-4b03-8129-3de5a7b61a9c,Director,3b561d0d-0e65-4e38-a257-3dc2dd4fb17f
A Touch of Zen,4ce2b72a49470,Taiwan,91b5ec6f-461d-49cd-a86d-db08705fc95b,,,King Hu,63c567c1-aa99-48b9-89a4-f38ec63370c6,Unspecified,5bdfa43f-bdec-4b03-8129-3de5a7b61a9c,Director,3b561d0d-0e65-4e38-a257-3dc2dd4fb17f
