YEAR,FILM,FILM_ID,COUNTRY,COUNTRY_ID,VOTER,VOTER_ID,DIRECTOR,DIRECTOR_ID,GENDER,GENDER_ID,ROLE,ROLE_ID
,,,Kazakhstan,fb0070ce-10dd-4d6b-a494-f13c0af03411,Gulnara Abikeyeva,558,,,Female,4de969c1-1e2c-4a4c-b4fa-ad2a81839310,Programmer,08dc0e35-ef76-4915-a844-8940ccc7d6b3
,,,Ireland,465cff01-88b1-4caa-8220-38467ab5ae9d,Lenny Abrahamson,1033,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Director,90864f57-e690-4cec-945d-d2a1b3a179d3
,,,Turkey,c57a50e4-6e70-4cd4-8a07-f436df782e4c,Mehmet Açar,316,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Critic,2fd484da-3011-4242-8eee-16e42a78212b
,,,Nigerla,75246fd5-f1a3-40d2-a050-b15e72f7bd1b,Newton Aduaka,1090,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Director,90864f57-e690-4cec-945d-d2a1b3a179d3
,,,Sweden,aaa6f4d7-e773-407e-9320-4ccf74fd1496,Eva af Geijerstam,624,,,Female,4de969c1-1e2c-4a4c-b4fa-ad2a81839310,Critic,2fd484da-3011-4242-8eee-16e42a78212b
,,,UK,abd853e8-6146-4b4f-b134-2db1684056c2,Kaleem Aftab,444,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Critic,2fd484da-3011-4242-8eee-16e42a78212b
,,,Argentina,a91a056e-fdc6-42c4-8339-b6d7b898be15,Alejandro Agresti,855,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Director,90864f57-e690-4cec-945d-d2a1b3a179d3
,,,Spain,74a5a2ac-b864-49db-afa5-55ae23f8d99b,Pedro Aguilera,1115,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Director,90864f57-e690-4cec-945d-d2a1b3a179d3
,,,India,8f915019-8771-46d2-919f-e5a1e59c4ba8,Ashim Ahluwalia,886,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Director,90864f57-e690-4cec-945d-d2a1b3a179d3
,,,Japan,f920998c-54b9-4447-8cd1-2e59a226cfaf,Daisuke Akasaka,704,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Critic,2fd484da-3011-4242-8eee-16e42a78212b
,,,Iran,42157a46-0778-463d-b409-1914c26d0a50,Mania Akbari,1046,,,Female,4de969c1-1e2c-4a4c-b4fa-ad2a81839310,Director,90864f57-e690-4cec-945d-d2a1b3a179d3
,,,Iraq,4e8b371f-93ff-47c6-a9dd-ab723ff8b3df,Mohamed Al-Daradji,1081,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Director,90864f57-e690-4cec-945d-d2a1b3a179d3
,,,Holland,c10bdd3b-c358-4d08-8afc-ec3be23163fb,Mohamed Al-Daradji,1081,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Director,90864f57-e690-4cec-945d-d2a1b3a179d3
,,,Finland,98538cd3-7e68-4753-841d-ed46a441e904,Antti Alanen,785,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Programmer,08dc0e35-ef76-4915-a844-8940ccc7d6b3
,,,Argentina,a91a056e-fdc6-42c4-8339-b6d7b898be15,Marcelo Alderete,364,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Programmer,08dc0e35-ef76-4915-a844-8940ccc7d6b3
,,,UK,abd853e8-6146-4b4f-b134-2db1684056c2,Nigel Algar,247,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Archivist,d7833291-b97a-47d4-90b4-4634a832f68a
,,,Spain,74a5a2ac-b864-49db-afa5-55ae23f8d99b,Francisco Algarín Navarro,600,,,Male,b4a1de1f-8b10-4626-b149-c133089ea04f,Critic,2fd484da-3011-4242-8eee-16e42a78212b
